Column1,Column2,Column3,Column4,Column5
5,11,9,4,7
5,8,9,8,8
13,11,9,8,8
3,11,9,8,8
13,11,1,8,8
11,11,9,4,7
14,11,1,8,8
11,11,9,8,7
14,11,9,8,8
3,11,9,8,8
3,11,1,8,7
11,11,9,8,8
13,11,9,8,7
14,11,1,4,8
14,11,9,8,7
3,11,1,8,7
14,11,9,4,7
13,11,9,4,7
3,8,1,8,8
3,11,9,8,8
13,8,9,8,8
11,8,9,4,8
11,8,9,4,8
7,11,9,4,8
13,11,9,8,8
3,11,9,8,8
3,11,1,8,8
3,8,9,8,8
1,11,9,4,8
13,8,1,8,7
5,11,9,8,7
14,8,9,8,7
5,8,1,8,7
14,8,9,8,7
14,8,9,8,7
9,11,9,4,7
5,11,1,4,8
13,8,9,8,7
9,11,1,8,7
9,8,9,4,7
7,11,9,8,7
9,8,1,8,8
13,11,1,8,7
3,8,1,8,8
11,11,9,8,7
11,11,9,8,7
11,8,9,8,7
13,8,9,8,7
5,11,9,8,7
9,8,1,4,7
9,8,9,8,7
5,8,9,8,8
13,11,9,8,7
9,8,9,8,8
9,11,1,8,7
5,11,9,4,7
1,8,9,8,7
14,8,9,8,7
5,8,9,8,7
7,8,9,8,7
7,11,9,8,7
14,8,9,8,7
14,11,9,8,8
5,8,9,8,7
5,8,9,8,7
7,8,9,8,7
5,8,9,8,7
7,8,9,8,8
11,8,9,8,7
5,11,9,8,7
5,11,1,4,7
5,8,9,8,8
5,8,9,4,7
11,11,9,4,7
5,11,9,4,8
7,11,1,8,7
9,8,9,8,8
5,8,1,4,7
5,11,1,4,7
11,8,1,8,8
14,11,1,8,8
9,8,9,4,7
9,8,1,8,7
5,8,9,4,7
5,8,1,4,7
9,8,1,4,7
5,8,1,4,7
3,11,9,4,8
9,8,1,4,7
14,11,9,4,8
13,11,9,4,7
5,11,9,4,7
7,11,9,4,8
11,11,1,4,7
9,8,1,4,7
5,8,9,8,7
3,8,9,4,7
5,11,1,4,8
5,8,9,4,7
5,8,1,4,7
5,8,9,4,7
14,8,1,4,7
11,11,9,4,7
5,11,1,4,7
9,11,9,4,7
7,11,9,4,7
11,8,1,8,7
9,8,1,4,7
5,8,1,4,7
5,11,1,4,8
5,11,9,8,7
14,11,1,4,8
5,8,9,4,7
7,8,1,4,7
5,8,9,8,7
5,11,1,4,7
1,11,9,4,7
14,8,1,4,7
5,11,9,8,7
14,8,1,4,7
14,8,9,4,7
5,8,9,4,7
5,8,9,4,7
5,8,9,4,8
5,8,1,4,8
5,11,1,4,8
3,8,9,4,7
5,8,9,4,7
12,11,1,8,7
11,8,1,8,8
13,11,1,8,8
13,11,9,4,8
9,8,9,4,8
13,11,9,8,8
11,8,9,8,8
5,8,9,8,8
11,8,9,8,7
14,8,9,8,8
13,11,9,8,8
9,8,9,8,8
14,11,9,8,8
13,11,9,8,8
9,8,1,8,8
7,8,9,8,8
13,11,9,4,8
13,8,9,4,7
13,11,1,8,7
11,8,9,8,8
11,8,9,4,8
13,11,1,8,7
6,11,9,8,8
11,11,9,8,8
13,11,9,8,8
9,8,1,8,8
1,11,1,8,7
6,11,9,4,7
13,11,1,8,7
14,11,9,4,7
13,11,1,8,7
13,11,9,8,7
14,8,9,8,8
3,11,1,8,7
5,8,1,8,8
9,8,1,8,8
11,11,9,8,7
9,11,1,8,7
13,11,1,8,7
9,8,1,8,7
11,8,9,4,8
13,11,9,8,8
9,8,1,8,8
11,11,9,4,7
3,11,9,4,8
11,8,9,4,8
13,8,1,4,7
13,11,1,8,8
3,11,1,8,8
13,11,1,8,7
3,11,9,8,7
9,8,9,8,8
9,8,9,8,8
5,11,1,4,8
7,11,1,8,7
13,11,9,4,8
9,8,9,8,8
11,8,9,8,7
13,8,9,8,8
13,11,1,8,7
5,8,9,8,7
7,11,9,8,7
5,11,9,8,7
13,8,9,8,7
11,11,9,4,7
11,11,9,8,7
13,8,9,8,8
9,8,1,8,8
5,8,9,4,8
13,8,9,4,7
5,11,1,8,8
11,11,9,8,7
9,8,9,8,8
13,11,9,8,8
11,11,9,4,8
5,11,9,4,8
9,11,1,4,7
13,8,1,8,7
13,11,9,8,7
6,8,9,8,7
9,8,9,8,8
9,11,1,4,8
14,11,9,4,7
9,11,9,4,7
2,11,9,8,7
5,11,9,4,7
9,11,1,4,7
11,11,9,8,7
13,11,9,8,7
6,11,1,4,7
6,8,9,8,7
9,11,1,4,7
5,11,1,8,8
7,8,9,8,7
5,11,9,8,7
13,11,9,8,7
13,8,9,4,7
5,8,9,4,7
13,11,9,4,7
14,11,9,4,7
3,11,9,8,8
7,11,9,8,7
5,11,9,8,7
11,11,1,8,8
13,11,9,8,7
7,11,9,4,7
5,11,9,4,7
5,8,9,4,7
14,8,9,8,8
13,11,9,8,7
3,11,9,8,8
9,11,9,4,7
11,8,9,8,7
9,8,9,4,8
6,8,1,8,7
3,8,9,8,8
11,11,9,8,7
5,8,9,4,7
3,8,9,4,8
13,8,1,8,7
13,8,9,8,8
5,11,9,4,7
11,11,9,8,7
9,11,9,8,8
9,11,9,4,8
11,11,9,4,7
13,11,9,8,7
2,11,9,4,8
9,11,9,8,7
5,11,9,4,7
5,11,9,4,7
11,11,9,4,8
5,11,9,4,7
11,8,9,8,8
14,8,9,8,7
5,11,9,8,7
7,11,9,8,8
5,8,9,8,7
14,11,9,8,7
9,11,9,4,7
5,8,9,8,7
9,8,9,8,8
1,11,9,8,7
14,8,9,8,7
7,8,9,8,7
5,11,9,4,8
13,11,9,8,7
13,8,9,8,7
7,11,9,8,8
3,11,9,8,7
14,8,9,8,7
9,8,9,8,7
11,11,9,8,7
5,11,9,8,7
13,8,9,8,7
2,8,9,8,8
9,8,1,8,8
13,11,9,8,7
11,11,1,8,8
13,11,9,4,8
13,8,9,8,7
14,11,9,4,8
13,11,1,8,8
11,11,9,8,8
13,11,9,8,7
11,11,9,8,7
13,11,1,8,7
13,11,1,8,7
7,11,9,8,7
11,11,1,8,7
9,8,9,8,8
11,8,1,8,8
11,11,9,8,7
13,11,9,8,7
6,11,1,8,7
13,8,9,8,7
5,8,9,8,7
5,11,1,8,7
13,11,9,4,8
11,8,9,8,7
7,8,1,8,8
13,11,1,8,8
13,11,9,8,8
13,8,1,8,8
13,8,9,8,8
11,11,9,8,7
11,8,1,8,8
5,11,9,4,7
5,8,1,8,7
9,11,9,4,7
9,11,9,4,7
11,11,1,8,7
11,8,9,8,7
11,11,9,4,7
11,8,9,8,8
1,8,9,8,8
13,8,9,4,7
9,8,9,4,7
14,11,9,4,7
14,11,9,4,8
5,8,9,4,7
11,11,1,8,7
5,8,1,8,8
13,8,1,4,7
5,11,9,4,7
3,11,9,8,8
5,8,9,8,7
9,11,9,4,7
5,11,9,8,7
5,11,9,4,7
13,8,9,8,7
5,11,9,8,7
13,11,9,8,8
9,11,1,8,7
13,8,9,4,7
9,8,1,8,8
11,8,9,8,8
8,8,1,8,8
11,8,1,8,8
11,8,9,8,8
3,11,9,8,8
13,11,9,8,8
13,11,1,8,7
5,11,1,8,7
3,8,1,8,7
11,11,9,8,8
7,11,1,8,7
11,11,9,4,8
13,8,1,8,8
6,11,1,8,8
3,8,9,4,7
9,8,9,8,8
9,11,1,8,8
13,11,9,8,8
13,11,1,8,7
13,11,9,4,8
11,11,1,8,7
13,11,9,4,7
13,11,9,8,8
11,8,9,4,8
3,11,1,8,8
9,8,1,8,8
13,11,1,4,8
1,11,9,8,7
5,8,9,8,8
5,8,9,8,7
5,8,9,8,7
1,11,9,8,8
8,8,9,8,7
14,11,9,8,7
5,8,9,8,8
5,8,9,4,7
13,11,9,8,7
5,8,1,4,8
11,11,1,8,8
11,8,9,8,8
14,8,9,8,7
13,8,9,8,7
7,11,1,8,8
3,8,9,8,7
1,8,9,8,7
5,11,9,8,7
5,11,9,8,7
5,8,9,8,7
5,8,9,8,8
13,11,9,4,7
13,8,9,4,7
6,11,1,8,8
13,8,9,8,8
1,8,9,8,7
14,11,9,8,7
5,8,9,4,7
14,11,9,8,7
11,11,9,8,7
5,8,9,8,7
3,8,9,8,7
14,8,9,8,7
14,11,9,8,8
1,8,9,8,7
13,8,9,8,7
5,11,9,8,7
12,8,9,8,7
1,11,9,8,7
3,8,9,8,7
3,8,9,8,7
3,8,9,8,7
14,8,9,8,7
5,8,9,8,7
14,8,9,8,7
14,8,9,8,7
7,11,9,8,7
7,8,9,8,7
7,11,9,8,7
11,8,9,8,7
5,11,9,8,7
5,11,9,8,8
5,11,9,4,7
14,8,9,4,8
7,8,9,8,8
6,8,9,4,7
3,8,9,8,8
3,8,1,8,8
6,11,9,8,8
13,8,1,8,7
9,11,9,4,8
7,11,1,8,7
12,11,9,4,7
9,11,1,4,8
13,8,1,8,7
13,8,1,4,7
11,8,9,4,8
3,8,1,8,7
3,8,1,4,8
11,8,9,4,7
5,8,9,4,7
9,8,1,8,8
14,8,9,4,8
6,11,1,4,7
11,8,9,4,8
5,8,9,4,7
5,11,9,4,7
9,8,9,8,8
3,11,1,8,8
11,11,1,8,8
11,11,1,8,8
14,8,9,4,8
11,11,9,4,7
3,8,1,4,7
7,11,9,4,8
14,11,9,4,8
11,8,9,4,7
13,8,9,8,7
13,11,9,8,8
14,8,9,4,7
9,11,1,8,7
13,8,1,8,7
9,8,1,8,7
3,11,9,8,7
1,8,1,8,7
1,11,1,8,7
3,11,9,8,8
11,11,1,8,7
11,11,1,8,7
3,11,9,8,7
14,8,1,4,8
3,11,1,8,8
7,11,9,8,7
5,8,1,8,8
13,11,9,4,7
14,8,1,8,8
13,11,9,8,8
13,11,1,8,7
14,11,9,4,7
6,11,1,8,7
5,8,9,4,7
7,11,1,8,8
3,8,9,8,7
3,8,9,8,7
14,11,9,8,8
9,8,1,8,7
13,11,9,8,8
11,11,1,8,7
5,8,9,8,7
7,8,9,8,7
14,8,9,8,7
3,11,9,8,8
14,8,9,8,8
3,8,9,8,7
14,8,9,8,7
7,8,9,8,7
14,11,9,8,8
13,8,9,8,7
9,8,1,8,8
9,8,9,8,8
9,11,9,4,7
9,8,9,8,7
14,8,9,8,7
14,8,9,8,7
14,11,9,8,7
13,11,9,8,8
3,8,9,4,7
6,8,9,8,7
3,11,9,8,7
7,8,9,8,7
6,11,9,8,7
5,8,9,8,7
3,11,9,8,8
5,8,9,8,7
11,8,9,8,7
5,8,9,8,8
7,8,9,8,7
3,8,9,8,7
3,8,9,8,7
14,11,9,8,7
14,8,9,8,7
13,8,9,8,7
14,8,9,8,7
5,8,1,8,7
9,8,9,8,8
5,11,9,8,7
5,8,9,8,8
5,11,9,8,7
12,11,1,8,8
3,11,9,8,8
9,11,1,8,8
3,8,9,8,7
1,11,9,8,7
14,8,9,8,7
14,8,9,8,7
14,8,9,4,7
11,11,1,8,8
14,8,9,8,8
3,11,9,8,7
6,11,9,8,7
14,8,9,8,7
14,11,9,8,7
5,8,9,8,8
3,8,9,8,7
14,11,9,8,7
14,11,9,8,7
5,11,1,8,7
7,8,1,8,7
9,8,1,8,8
11,11,9,8,7
5,8,9,4,7
11,8,9,4,8
5,11,9,8,7
6,8,9,8,7
5,8,9,8,7
11,11,9,8,7
13,11,9,8,7
1,8,9,8,7
1,11,9,8,7
11,8,9,8,7
7,11,1,8,7
9,11,1,8,7
9,11,1,8,8
11,8,9,8,7
11,8,9,8,7
9,8,1,8,8
5,11,9,8,7
5,8,9,8,7
9,11,9,8,7
14,8,9,8,7
13,11,9,4,8
11,11,9,4,7
7,11,9,8,7
11,8,9,8,7
9,8,1,8,7
9,8,9,8,7
13,8,9,4,7
14,11,9,4,7
1,8,9,8,7
14,11,9,8,7
11,11,9,4,7
7,11,1,8,7
5,11,9,4,7
11,8,9,4,7
7,8,9,4,7
13,11,9,4,7
14,11,9,8,7
7,8,9,4,7
5,11,9,4,7
5,11,9,4,8
11,8,9,8,7
9,8,9,4,8
13,8,1,8,7
1,8,1,8,7
9,11,1,8,7
9,8,1,8,7
6,11,9,8,7
5,11,1,4,7
9,11,9,8,8
14,11,1,4,7
6,11,9,4,7
13,11,9,8,7
5,11,9,4,7
6,11,9,4,7
1,11,1,8,8
5,11,9,4,7
7,11,9,8,7
6,11,9,4,7
6,11,9,4,7
7,11,9,4,7
6,11,9,8,7
5,11,1,8,7
6,11,9,4,8
3,11,9,4,7
5,11,9,4,7
5,11,9,4,7
13,11,9,8,8
11,11,9,8,8
5,8,9,8,8
9,8,9,8,8
11,11,9,4,7
9,11,1,8,7
7,8,9,4,8
6,11,1,4,7
5,11,1,4,7
7,11,1,8,7
1,11,1,4,8
1,11,9,4,7
14,8,9,8,8
5,11,9,8,8
5,8,9,8,8
5,11,1,8,7
13,8,1,4,7
7,11,9,8,7
5,8,9,8,7
5,11,9,8,7
7,11,9,8,7
5,8,9,8,7
5,11,9,8,7
5,8,9,8,7
14,8,9,8,7
14,8,9,8,7
5,8,9,8,7
14,8,9,8,7
14,8,9,8,7
9,8,1,8,8
5,8,9,8,7
13,11,9,8,8
7,11,1,8,7
1,8,9,8,7
5,8,9,8,7
1,8,9,8,7
7,8,9,8,8
11,8,1,8,7
3,8,9,4,7
5,8,9,8,7
5,8,9,4,8
5,8,9,8,7
14,8,9,8,7
14,8,9,8,7
14,8,9,8,7
11,11,9,8,8
11,8,9,8,8
13,11,9,8,7
5,11,9,8,7
14,8,9,4,7
11,8,9,4,8
13,8,9,4,8
13,11,1,8,8
9,8,9,4,8
9,8,1,8,8
3,11,9,4,8
9,8,1,8,8
12,8,9,8,8
11,8,9,8,8
11,11,9,8,8
13,8,1,8,8
9,8,1,8,8
9,8,1,8,8
9,8,1,8,8
14,11,9,8,8
1,11,9,8,8
7,11,1,8,8
5,11,1,8,8
13,8,1,8,8
9,8,1,8,8
13,8,1,8,8
13,11,1,8,7
13,11,1,8,8
13,11,9,8,8
13,11,1,8,7
14,11,9,8,8
9,11,9,8,7
9,11,1,8,8
11,8,9,8,8
11,8,9,4,8
11,11,9,8,8
11,11,1,8,7
9,8,1,8,8
11,11,9,4,7
11,11,1,4,7
11,8,1,8,8
6,11,9,8,8
11,11,9,4,7
13,11,1,8,7
11,11,9,8,8
13,11,9,4,7
11,11,1,8,7
9,8,1,8,8
9,8,9,8,8
13,11,9,8,8
13,11,1,8,8
13,11,1,8,8
9,8,1,8,8
9,11,1,8,7
13,11,9,8,7
13,11,1,8,7
13,11,1,8,8
11,8,9,4,7
5,11,1,8,7
14,11,1,4,8
6,8,9,8,7
3,8,9,8,8
13,8,1,8,7
5,11,9,8,7
13,8,1,8,7
14,11,9,8,7
5,8,9,8,8
13,8,1,8,7
11,8,9,8,7
9,8,1,8,8
14,8,9,8,8
14,8,9,4,7
3,8,9,8,8
13,8,9,4,7
14,8,9,4,7
14,11,9,8,7
3,8,9,8,7
5,8,9,8,7
11,11,9,4,8
7,8,9,8,7
7,11,9,4,7
5,8,9,8,7
6,8,9,4,7
5,8,9,8,7
8,11,9,4,7
11,8,9,8,7
14,8,9,8,7
5,11,9,8,7
3,11,9,8,7
9,8,9,4,7
14,8,9,8,7
13,8,9,4,8
14,11,9,8,7
5,11,9,4,7
9,11,9,8,7
14,8,9,8,7
14,8,9,8,7
9,11,9,8,8
3,11,9,8,7
3,8,9,8,7
14,11,9,8,7
5,8,9,4,7
5,8,9,8,8
14,11,9,8,8
14,11,9,8,7
11,11,9,8,8
5,11,9,4,7
14,8,9,8,8
14,8,1,4,7
9,8,9,8,7
12,8,9,8,8
14,11,9,8,7
5,8,9,8,8
14,8,1,8,7
5,8,9,4,7
7,11,9,8,8
13,11,1,8,8
7,11,9,8,7
13,11,1,4,7
14,8,9,8,7
3,11,9,8,8
1,11,9,4,8
3,8,9,4,7
9,11,1,4,7
1,11,9,4,8
13,11,9,8,7
5,11,9,8,7
11,11,9,8,7
13,11,1,8,8
14,11,1,4,7
14,8,1,4,7
11,11,9,8,7
12,11,9,4,8
13,11,9,4,7
11,11,9,4,7
7,11,9,4,8
7,11,9,4,7
7,8,9,4,7
7,11,9,8,7
14,11,9,4,8
7,11,1,8,7
11,8,1,8,8
13,8,9,8,7
1,8,9,8,7
14,8,9,4,7
14,8,9,4,7
5,11,9,8,7
13,8,9,4,7
3,11,9,8,7
5,8,9,4,7
13,11,1,8,7
3,8,9,8,7
14,8,9,8,8
13,11,9,8,8
14,8,9,8,7
7,8,9,4,7
14,8,9,8,7
9,11,1,8,7
3,11,9,8,8
14,8,1,8,7
14,8,1,8,7
14,8,1,4,7
12,8,9,4,7
5,8,9,4,7
11,11,9,4,8
7,11,9,4,7
5,11,9,4,7
11,11,9,4,7
13,11,1,8,7
13,8,9,4,8
13,8,9,8,8
1,11,9,4,7
13,11,1,4,7
14,8,9,4,7
13,11,9,4,7
11,11,9,4,7
9,11,9,4,7
5,11,9,8,7
9,11,9,4,7
9,11,9,8,7
1,11,9,4,8
11,11,9,4,7
11,11,9,4,7
13,11,1,8,7
13,8,1,8,8
3,11,9,8,7
13,8,1,8,7
13,11,9,8,8
13,8,9,4,7
5,11,1,8,7
13,11,1,8,8
3,11,9,4,7
13,8,9,4,7
13,11,9,4,7
3,11,9,4,7
13,8,9,8,7
13,8,9,4,8
9,11,9,4,7
3,11,9,8,7
3,11,9,8,8
6,11,9,4,7
13,11,9,4,7
13,11,9,4,8
13,11,1,8,7
13,8,9,4,7
11,11,9,4,7
1,11,9,4,8
11,8,9,8,7
13,8,1,8,7
5,11,1,8,7
5,11,9,4,8
13,11,1,4,8
3,11,1,4,7
13,8,9,8,7
13,8,9,4,7
13,11,9,8,7
3,8,9,4,8
6,11,9,8,8
9,11,1,8,7
3,11,9,4,8
13,11,9,4,8
11,11,9,8,8
11,8,9,8,8
11,11,9,4,8
9,8,9,4,8
1,11,9,8,7
11,11,9,8,8
11,11,9,4,8
11,11,9,4,8
9,11,9,8,7
11,11,9,8,8
13,11,9,8,7
13,11,1,8,8
7,11,9,8,8
13,11,9,4,7
14,11,9,8,7
3,8,9,4,7
13,11,9,4,7
9,8,9,8,8
13,11,9,8,8
9,8,1,8,8
13,11,9,8,7
11,11,9,8,8
9,8,1,8,8
12,11,1,8,7
13,11,9,4,8
11,11,9,4,8
6,11,1,8,7
12,11,9,4,8
11,11,9,4,7
13,8,9,8,7
5,11,9,4,7
9,8,1,8,8
14,8,9,4,8
13,11,9,8,8
9,11,9,8,7
5,11,1,8,7
13,11,9,4,8
